,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,6.0208486478082115,6.144752979890133,0.7460844964795971,2.6798571566618943,4.6908702667313555,,,,,,,5.4353116937300525,2.9660674242469067,,0.8999999999999999,6.0208486478082115,6.144752979890133,,Wojciech Szczesny,Goalkeeper
away_10,8.285047624691114,5.478795580985428,1.3772313946956376,3.022169377857375,4.774188126740799,7.580767700907319,7.496262164935256,7.629335597966504,7.74058189812587,8.025728892693612,,7.8109553576332855,3.656795076389116,7.264837507752467,0.7,8.285047624691114,5.092547157328756,7.783515251197489,Paulo Dybala,Left Forward
away_12,8.937585764675964,5.813479081394057,1.1299236165408288,2.8901181654538988,4.949822700167665,7.535928808066878,7.5313391685784286,7.545610358328586,8.314569825090924,,,6.735142978123328,3.9042739368747275,,0.9999999999999999,8.937585764675964,4.849723017156222,7.518273136815652,Alex Sandro,Left Wing Back
away_14,8.428713274869528,6.72039599785112,1.1665854834287095,2.962893482203543,4.898850698365457,7.402808001632437,7.453747926949551,7.500276341180525,7.514680123246854,,,7.0578355456011455,0.7358178123853217,7.040746335703468,0.30000000000000004,8.402017545357756,6.72039599785112,7.343946198219209,Blaise Matuidi,Left Midfield
away_16,8.885207215731691,5.669168858000343,1.1715867928604777,2.9110846784087077,4.880462434021974,7.41477406538908,7.9707102721421625,7.6534912974867275,8.185494147875506,,,7.822375674285435,4.357453341479215,7.574873077722824,1.0999999999999999,8.885207215731691,5.669168858000343,7.532268025353751,Juan Cuadrado,Right Wing Back
away_19,8.702695316347645,6.282776342390639,1.202304907722497,3.010578908193451,4.861394252443335,7.392810298406419,7.489712565696078,7.751464648617697,7.8291795233270856,,,6.2988746412254,3.550103906987483,,1.2,8.702695316347645,6.282776342390639,7.410381416836033,Leonardo Bonucci,Right Center Back
away_21,8.088104048150717,5.338643061304656,1.2260936576617911,2.9276944191248937,4.8415453815493175,7.33144708169178,7.4272808697872,7.485699826389276,,,,5.898237831727349,2.576492608562727,,0.7999999999999999,8.088104048150717,5.338643061304656,7.324689246134987,Gonzalo Higuain,Attacking Midfield
away_23,9.833135627221068,5.807403984543079,1.272977128285052,2.8909085429701173,5.044319071094446,7.679156098671407,7.600818434075422,7.482888524394321,8.08062651047552,,8.236615604829394,5.729168491313858,3.404688743575924,,0.5,9.443654006743717,5.807403984543079,7.603393559279434,Emre Can,Left Forward
away_30,9.352846060795617,5.908352794990003,1.3129547220662745,3.0612541331637297,4.821278624462983,7.663960871388945,7.672405037016993,7.553722335802493,7.809290514142512,,8.58971479888948,5.1676581916919915,4.8629617528607625,,1.5000000000000002,8.442271381004856,4.8612564257290165,7.612902411521906,Rodrigo Bentancur,Right Midfield
away_33,8.682586394250915,6.167041019302658,1.2392946226568744,3.085318430399704,4.736919430584594,7.273379075313373,7.265707502971383,7.476999441129609,,8.057605795560843,,6.625310926082842,0.3993764665837062,,0.35000000000000003,7.545938540739694,5.336683374892568,7.1607526342593015,Federico Bernardeschi,Attacking Midfield
away_4,8.813424375703743,6.031596216872043,1.1197642411036839,2.952505382529564,4.814674638735642,7.2911240827698105,7.2580671541704245,,7.916636945588381,,,6.25327854782161,5.392362185601812,,1.3,8.813424375703743,4.848644076357802,7.295375901889217,Matthijs de Ligt,Left Center Back
away_5,8.657769223493036,6.463887712575255,1.2617952150512655,3.025912201908451,4.592102031265569,7.501629905769642,7.712560434800354,7.411860561420415,,8.006624075261689,,7.414014467531546,4.42204196149153,7.359526086773396,0.9999999999999999,8.657769223493036,6.463887712575255,7.575432828798216,Miralem Pjanic,Center Midfield
away_6,8.188519547243464,5.792751578380306,1.265567312785432,2.9977994266338053,4.760982468754197,7.4105975086488085,7.588570367413228,7.410344481521505,7.691487049423246,,,6.033366098887655,4.102824383715803,,0.55,8.188519547243464,5.792751578380306,7.491063554259071,Sami Khedira,Right Midfield
away_7,8.672167018864153,5.53988590087373,1.120996055160183,2.9263793120548134,4.989792531196895,7.6671188421883745,7.695822716028003,7.723400935829232,8.009611122372856,7.56085869520898,,8.672167018864153,3.2375205467294452,7.601125323551139,0.5,8.609056706581152,5.53988590087373,7.766406951199183,Cristiano Ronaldo,Right Forward
home_1,6.1026301898983215,4.429156531002712,0.640826972903582,2.603167895278793,4.523107103795675,,,,,,,4.227376957493626,3.7124570107209034,,1.7000000000000004,5.908359088476204,4.015969128110411,,Samir Handanovic,Goalkeeper
home_10,8.593737053137962,4.938274120675061,1.2253351373861432,2.9032554269306354,4.880251359103788,7.4800723656905195,7.682877002666369,7.712109115456717,8.049063167123252,,,8.49279857380921,4.885237847466877,8.017542193414444,0.30000000000000004,8.531998116678809,4.938274120675061,7.60702868344891,Lautaro Martinez,Left Forward
home_12,8.376493607054487,5.28030621077956,1.1972225475033862,2.967454901266931,4.7438593023552,7.532563905468629,7.649518218953849,7.540783925384131,7.962832240404014,,,7.449732122595651,,7.265617935887548,0.7999999999999999,8.376493607054487,4.88111240520523,7.585573620612902,Stefano Sensi,Left Midfield
home_16,8.225957899525318,5.1806107294197545,1.254276029822907,3.1243787994099,4.999715276582333,7.358744233711197,7.372183406049414,7.484586885198866,,,,7.123342644458543,1.6783003396573248,7.116557380973491,0.4,8.225957899525318,4.963700661548172,7.2921661138365295,Matteo Politano,Left Forward
home_18,8.431334909496767,5.748243468529928,0.9990614817885698,2.917614203785832,4.74300716949935,7.440278384899445,7.500094362062676,7.480732020259019,7.532241303404044,,,7.052705604998499,3.745985366790111,7.052705604998499,1.2,8.431334909496767,5.433995511718791,7.431876785531412,Kwadwo Asamoah,Left Winger
home_2,8.958333299845851,5.866800933790743,1.2368276570444847,2.853709326887014,4.883963740148353,7.674647319413459,7.66967006961889,7.583284834616396,7.688464595797398,,,6.652375550404267,3.130255160841584,,1.0999999999999999,8.958333299845851,5.142429027395187,7.6742653589130425,Diego Godin,Right Center Back
home_23,8.660374575576936,5.79184192157526,1.2563336372482357,2.9685867362210043,4.796732256513993,7.289773276281931,7.426708349670659,7.571393561852975,7.4816916739238755,7.344362008372545,,7.126702382501099,3.983699722296639,7.087274896208056,0.7,8.075867705013891,5.79184192157526,7.232996931671366,Nicolo Barella,Right Midfield
home_33,8.61106951073618,5.974190477052891,1.1516344881353209,2.912079270473258,4.944051760776608,7.373734802203948,7.383651990132166,7.416891259313105,7.906458840008617,,,8.506205014047863,5.861816849435063,7.565813583248849,1.0499999999999998,8.61106951073618,5.861816849435063,7.412542773365961,Danilo D'Ambrosio,Right Winger
home_37,9.728388222782089,5.383789654618892,1.3042434880523188,2.9171138222075075,4.624840556912594,7.728998771307296,7.886944738969959,7.871342424875751,8.178366340555868,,7.878833882807084,5.750332462322985,3.7519711460754244,,1.0999999999999999,9.728388222782089,5.383789654618892,7.873007711667984,Milan Skriniar,Left Center Back
home_6,7.565843319640797,5.724353565397628,1.1461228461560642,2.918039789457215,4.6887326038710935,7.172751042681763,7.477256180550306,,7.464525662472907,,,7.431217451607244,5.384017015885924,7.338248538323985,1.4000000000000001,7.431217451607244,5.38433574159078,7.1677688895927805,Stefan de Vrij,Center Back
home_77,8.39854814529356,7.481467141676875,1.232554190924233,3.183139635508981,4.662552284242526,7.379536561124405,7.40035505636838,7.580041958730396,7.565602530678619,,,8.290573075968263,2.77731002340773,7.460542040583,1.0499999999999998,8.39854814529356,7.481467141676875,7.460542040583,Marcelo Brozovic,Center Midfield
home_8,7.871657430945094,5.57787348557544,1.3448390865913495,3.001780822263751,4.758968939022064,7.316239946769091,7.351236304318283,7.486330882384662,7.462427700738661,,,7.50511400152774,,7.494686790256845,0.6499999999999999,7.871657430945094,5.57787348557544,7.326240007740225,Matias Vecino,Left Midfield
home_9,9.310452102282756,6.2204407042671725,1.0574569797876454,2.983228815573075,4.850546013588557,7.5654297280960705,7.710267184824215,7.61900666395324,8.01538790405227,,,8.290129902604056,1.8381876468740805,7.350426840253688,0.4,9.310452102282756,4.647542073077818,7.607592540654481,Romelu Lukaku,Right Forward
home_95,8.37165016824836,6.3060538245231665,1.249416032660158,2.8909533630105866,4.725114150368906,7.661093844053453,7.495396482205265,7.503505883107463,,,7.906594308096115,5.578738110262969,4.750765353921446,,1.4000000000000001,7.227148148130387,6.3060538245231665,7.1711989665492695,Alessandro Bastoni,Right Center Back
